dt=0.00625sec, 4878samples
Time(Sec)             X_ref_pos(i)          X_enc_pos(i)          X_pos_err(i)          X_vel_ff(f)           X_vel_fbf(f)          X_ref_acc(f)          X_command(f)          X_curr_abs(f)         
1.181250              0                     -30                   30                    0                     1344.39               0                     -6.00928              0.0535262             
1.187500              0                     -31                   31                    0                     434.868               0                     -5.84377              0.0761581             
1.193750              0                     -29                   29                    0                     1169.3                0                     -5.95418              0.0484775             
1.200000              0                     -30                   30                    0                     -496.62               0                     -5.68678              0.00688837            
1.206250              0                     -30                   30                    0                     -410.21               0                     -5.65058              0.043777              
1.212500              0                     -28                   28                    0                     1159.6                0                     -5.88302              0.0577216             
1.218750              0                     -30                   30                    0                     947.029               0                     -5.7781               0.00709669            
1.225000              0                     -27                   27                    0                     951.581               0                     -5.80252              0.122119              
1.231250              0                     -30                   30                    0                     1688.91               0                     -5.83895              0.043777              
1.237500              0                     -29                   29                    0                     -847.711              0                     -5.47265              0.068777              
1.243750              0                     -28                   28                    0                     1139.74               0                     -5.73805              0.00380699            
1.250000              0                     -29                   29                    0                     -1043.03              0                     -5.3932               0.0888323             
1.256250              0                     -27                   27                    0                     838.658               0                     -5.63911              0.0017354             
1.262500              0                     -28                   28                    0                     1527.94               0                     -5.69913              0.0258455             
1.268750              0                     -28                   28                    0                     -748.212              0                     -5.35853              0.00147507            
1.275000              0                     -27                   27                    0                     1071.75               0                     -5.58733              0.068777              
1.281250              0                     -28                   28                    0                     91.3955               0                     -5.42426              0.0689333             
1.287500              0                     -28                   28                    0                     -544.098              0                     -5.30292              0.0689333             
1.293750              0                     -27                   27                    0                     86.7627               0                     -5.37256              0.0319565             
1.300000              0                     -27                   27                    0                     385.594               0                     -5.39177              0.0107192             
1.306250              0                     -28                   28                    0                     -981.877              0                     -5.16831              0.1404                
1.312500              0                     -26                   26                    0                     677.725               0                     -5.38826              0.0484775             
1.318750              0                     -28                   28                    0                     351.044               0                     -5.28161              0.0299367             
1.325000              0                     -26                   26                    0                     -308.917              0                     -5.20339              0.0381712             
1.331250              0                     -27                   27                    0                     21.1051               0                     -5.20576              0.0274124             
1.337500              0                     -27                   27                    0                     -1836.56              0                     -4.92221              0.0397381             
1.343750              0                     -26                   26                    0                     19.6084               0                     -5.16533              0.0438813             
1.350000              0                     -27                   27                    0                     -867.896              0                     -5.00956              0.000569437           
1.356250              0                     -26                   26                    0                     -400.102              0                     -5.05464              0.102725              
1.362500              0                     -26                   26                    0                     629.723               0                     -5.1721               0.0423145             
1.368750              0                     -27                   27                    0                     -1105.18              0                     -4.89586              0.101158              
1.375000              0                     -25                   25                    0                     735.2                 0                     -5.1391               0.0643894             
1.381250              0                     -27                   27                    0                     1438.98               0                     -5.17498              0.0397381             
1.387500              0                     -27                   27                    0                     375.4                 0                     -4.99874              0.00714883            
1.393750              0                     -25                   25                    0                     372.827               0                     -5.02028              0.0389205             
